Year,model,event_name,total_score,evidence_count,avg_snippet_score,max_snippet_score,min_snippet_score,total_components,avg_components_per_snippet,positive_points_total,negative_points_total,holistic_analyisis_lenght,latency_second,error
2021,claude-opus-4.5,Arab_Spring,11,5,2.2,3,2,10,2.0,11,0,479,18.0,
2021,claude-opus-4.5,Brexit_Referendum,21,5,4.2,5,4,10,2.0,21,0,485,19.0,
2021,claude-opus-4.5,COVID_19_Pandemic,30,5,6.0,6,6,10,2.0,30,0,485,23.2,
2021,claude-opus-4.5,Global_Financial_Crisis_Subprime,14,5,2.8,3,2,11,2.2,15,-1,500,26.0,
2021,claude-opus-4.5,Israel_Hamas_Conflict,0,0,0,0,0,0,0,0,0,326,21.9,
2021,claude-opus-4.5,Paris_Agreement_on_Climant_change,23,5,4.6,6,4,11,2.2,23,0,501,18.7,
2021,claude-opus-4.5,Russia_Ukraine_Conflict,0,0,0,0,0,0,0,0,0,328,22.7,
2021,claude-opus-4.5,US_China_Chip_Export_Controls,0,0,0,0,0,0,0,0,0,334,26.4,
2021,gemini-3.1-pro,Arab_Spring,6,3,2.0,2,2,6,2.0,10,-3,243,9.20279,
2021,gemini-3.1-pro,Brexit_Referendum,10,3,3.33,4,3,6,2,13,-3,250,11.14758,
2021,gemini-3.1-pro,COVID_19_Pandemic,15,3,5,5,5,6,2,18,-3,250,13.41341,
2021,gemini-3.1-pro,Global_Financial_Crisis_Subprime,6,3,2,2,2,6,2,12,-4,264,12.241,
2021,gemini-3.1-pro,Israel_Hamas_Conflict,0,0,0,0,0,0,0,0,0,213,9.341712,
2021,gemini-3.1-pro,Paris_Agreement_on_Climant_change,10,3,3.33,4,3,6,2,13,-3,266,10.76697,
2021,gemini-3.1-pro,Russia_Ukraine_Conflict,0,0,0,0,0,0,0,0,0,215,9.766711,
2021,gemini-3.1-pro,US_China_Chip_Export_Controls,0,0,0,0,0,0,0,0,0,221,912.034,
2021,gpt-5.3-codex,Arab_Spring,12,4,3,3,3,8,2,13,0,212,0,
