year,ticker,risk_score
2020,A,46
2021,A,55
2023,A,22
2020,AAPL,94
2021,AAPL,114
2022,AAPL,10
2023,AAPL,7
2020,ABBV,28
2021,ABBV,32
2022,ABBV,44
2023,ABBV,14
2020,ABNB,61
2021,ABNB,61
2022,ABNB,51
2023,ABNB,14
2020,ABT,53
2021,ABT,48
2022,ABT,120
2023,ABT,34
2020,ACGL,89
2021,ACGL,61
2022,ACGL,47
2023,ACGL,12
2020,ACN,62
2021,ACN,15
2022,ACN,22
2023,ACN,9
2020,ADBE,87
2021,ADBE,66
2022,ADBE,20
2023,ADBE,9
2020,ADI,94
2021,ADI,35
2022,ADI,30
2023,ADI,11
2020,ADM,62
2021,ADM,31
2022,ADM,33
2023,ADM,27
2020,ADP,32
2021,ADP,26
2022,ADP,15
2023,ADP,18
2020,ADSK,58
2021,ADSK,39
2022,ADSK,49
2023,ADSK,17
2020,AEE,93
2021,AEE,64
2022,AEE,27
2023,AEE,15
2023,AEP,9
2020,AES,80
2021,AES,125
2022,AES,41
2023,AES,35
2021,AFL,42
2022,AFL,40
2023,AFL,8
2020,AIG,82
2021,AIG,43
2022,AIG,42
2023,AIG,52
2020,AIZ,122
2021,AIZ,73
2022,AIZ,29
2023,AIZ,20
2020,AJG,45
2021,AJG,27
2022,AJG,33
2023,AJG,20
2020,AKAM,53
2021,AKAM,53
2022,AKAM,53
2023,AKAM,24
2020,ALB,46
2021,ALB,19
2022,ALB,17
2023,ALB,10
2020,ALGN,84
2021,ALGN,81
2022,ALGN,45
2023,ALGN,22
2020,ALL,31
2021,ALL,106
2022,ALL,90
2023,ALL,27
2020,ALLE,60
2021,ALLE,50
2022,ALLE,39
2023,ALLE,32
2020,AMAT,57
2021,AMAT,43
2022,AMAT,14
2023,AMAT,6
2021,AMCR,69
2022,AMCR,23
2023,AMCR,26
2020,AMD,61
2021,AMD,56
2022,AMD,63
2023,AMD,16
2020,AME,75
2021,AME,46
2022,AME,67
2023,AME,6
2020,AMGN,71
2021,AMGN,70
2022,AMGN,36
2023,AMGN,34
2020,AMP,50
2021,AMP,73
2022,AMP,25
2023,AMP,12
2020,AMT,84
2021,AMT,39
2022,AMT,7
2023,AMT,12
2020,AMZN,43
2021,AMZN,27
2022,AMZN,19
2023,AMZN,15
2020,ANET,50
2021,ANET,123
2022,ANET,22
2023,ANET,7
2020,ANSS,125
2021,ANSS,74
2022,ANSS,28
2023,ANSS,9
2020,AON,60
2021,AON,65
2022,AON,48
2023,AON,11
2020,AOS,87
2021,AOS,70
2022,AOS,35
2023,AOS,23
2021,APA,99
2022,APA,47
2023,APA,15
2020,APD,69
2021,APD,46
2022,APD,6
2023,APD,7
2020,APH,101
2023,APH,23
2022,APO,44
2023,APO,10
2020,APTV,113
2021,APTV,107
2022,APTV,86
2023,APTV,32
2020,ARE,34
2021,ARE,31
2022,ARE,38
2023,ARE,13
2020,ATO,19
2021,ATO,7
2022,ATO,6
2023,ATO,24
2020,AVB,101
2021,AVB,146
2022,AVB,72
2023,AVB,64
2020,AVGO,44
2021,AVGO,65
2022,AVGO,11
2023,AVGO,6
2020,AVY,88
2021,AVY,54
2022,AVY,44
2023,AVY,19
2020,AWK,40
2021,AWK,23
2022,AWK,11
2023,AWK,9
2020,AXON,39
2021,AXON,34
2022,AXON,13
2023,AXON,7
2021,AXP,94
2022,AXP,33
2023,AXP,13
2020,AZO,112
2021,AZO,24
2022,AZO,20
2023,AZO,18
2020,BA,89
2021,BA,161
2022,BA,46
2023,BA,8
2020,BAC,73
2021,BAC,46
2022,BAC,38
2023,BAC,23
2020,BALL,31
2021,BALL,22
2022,BALL,20
2023,BALL,9
2020,BAX,227
2021,BAX,106
2022,BAX,87
2023,BAX,37
2020,BBY,57
2021,BBY,69
2022,BBY,39
2023,BBY,25
2020,BDX,66
2021,BDX,60
2022,BDX,28
2023,BDX,19
2020,BEN,164
2021,BEN,40
2022,BEN,33
2023,BEN,32
2020,BFB,93
2021,BFB,82
2022,BFB,40
2023,BFB,26
2023,BG,17
2020,BIIB,62
2021,BIIB,103
2022,BIIB,51
2023,BIIB,30
2020,BKNG,112
2021,BKNG,59
2022,BKNG,79
2023,BKNG,10
2020,BKR,65
2021,BKR,54
2022,BKR,35
2023,BKR,18
2020,BLDR,45
2021,BLDR,66
2022,BLDR,15
2023,BLDR,4
2020,BMY,101
2022,BMY,27
2023,BMY,28
2023,BR,6
2020,BRO,48
2021,BRO,33
2022,BRO,34
2023,BRO,12
2023,BSX,7
2020,BWA,109
2021,BWA,104
2022,BWA,42
2023,BWA,5
2020,BX,79
2021,BX,51
2022,BX,62
2023,BX,69
2020,CAG,56
2021,CAG,45
2022,CAG,13
2023,CAG,8
2020,CARR,58
2020,CAT,33
2021,CAT,56
2022,CAT,55
2023,CAT,30
2020,CB,46
2021,CB,44
2022,CB,31
2023,CB,11
2020,CBOE,45
2021,CBOE,44
2022,CBOE,22
2023,CBOE,28
2020,CBRE,108
2021,CBRE,37
2022,CBRE,22
2023,CBRE,18
2020,CCI,21
2021,CCI,38
2022,CCI,13
2023,CCI,7
2023,CCL,51
2020,CDNS,64
2021,CDNS,61
2022,CDNS,33
2023,CDNS,10
2020,CDW,52
2021,CDW,82
2022,CDW,52
2023,CDW,13
2020,CE,80
2021,CE,28
2022,CE,22
2023,CE,10
2021,CEG,43
2022,CEG,26
2020,CF,52
2021,CF,30
2022,CF,6
2023,CF,10
2022,CFG,35
2023,CFG,9
2020,CHD,62
2021,CHD,54
2022,CHD,68
2023,CHD,20
2020,CHRW,62
2021,CHRW,53
2022,CHRW,26
2023,CHRW,3
2020,CHTR,98
2021,CHTR,36
2022,CHTR,7
2020,CI,57
2021,CI,55
