year,ticker,risk_score
2020,AAPL,36
2021,AAPL,29
2020,ABBV,3
2021,ABBV,7
2022,ABBV,11
2020,ABNB,7
2021,ABNB,7
2022,ABNB,9
2020,ABT,32
2021,ABT,9
2022,ABT,53
2023,ABT,8
2020,ACGL,22
2020,ACN,4
2020,ADBE,16
2021,ADBE,7
2020,ADI,19
2021,ADI,3
2020,ADM,23
2021,ADM,8
2020,ADP,2
2021,ADP,3
2022,ADP,1
2020,ADSK,7
2021,ADSK,10
2022,ADSK,6
2020,AEE,33
2021,AEE,15
2022,AEE,9
2023,AEE,6
2020,AES,12
2021,AES,10
2023,AES,3
2021,AFL,7
2022,AFL,7
2020,AIG,14
2021,AIG,8
2022,AIG,7
2023,AIG,6
2020,AIZ,6
2020,AJG,8
2021,AJG,2
2020,AKAM,2
2021,AKAM,4
2022,AKAM,7
2023,AKAM,10
2020,ALB,24
2021,ALB,6
2023,ALB,0
2020,ALGN,8
2021,ALGN,13
2022,ALGN,5
2020,ALL,13
2021,ALL,45
2022,ALL,44
2023,ALL,7
2020,ALLE,7
2021,ALLE,11
2020,AMAT,8
2021,AMAT,7
2021,AMCR,20
2022,AMCR,5
2020,AMD,0
2021,AMD,1
2020,AME,40
2021,AME,13
2022,AME,11
2023,AMGN,10
2020,AMP,6
2021,AMP,9
2020,AMT,18
2021,AMT,3
2022,AMT,0
2020,AMZN,37
2021,AMZN,16
2022,AMZN,7
2020,ANET,8
2021,ANET,18
2022,ANET,2
2020,ANSS,49
2021,ANSS,13
2020,AON,20
2021,AON,21
2023,AON,1
2020,AOS,13
2021,AOS,32
2022,AOS,13
2023,AOS,4
2021,APA,26
2022,APA,7
2020,APH,37
2020,APTV,50
2021,APTV,49
2022,APTV,42
2023,APTV,10
2020,ATO,5
2021,ATO,1
2023,ATO,4
2020,AVB,40
2021,AVB,18
2022,AVB,18
2021,AVGO,2
2023,AVY,2
2020,AWK,20
2021,AWK,14
2023,AWK,4
2020,AXON,21
2021,AXON,8
2021,AXP,19
2022,AXP,7
2020,AZO,32
2021,AZO,11
2022,AZO,11
2023,AZO,5
2020,BA,28
2021,BA,27
2022,BA,30
2023,BA,4
2020,BAC,23
2021,BAC,11
2022,BAC,5
2023,BAC,4
2020,BALL,14
2021,BALL,6
2022,BALL,8
2023,BALL,2
2020,BAX,34
2021,BAX,20
2022,BAX,18
2020,BDX,9
2021,BDX,12
2022,BDX,5
2023,BDX,4
2020,BEN,26
2020,BFB,9
2021,BFB,-1
2020,BIIB,11
2021,BIIB,28
2022,BIIB,9
2023,BIIB,7
2020,BKNG,41
2021,BKNG,9
2022,BKNG,12
2023,BKNG,-2
2020,BKR,23
2021,BKR,9
2020,BLDR,0
2021,BLDR,4
2022,BLDR,2
2020,BMY,30
2020,BRO,6
2020,BWA,49
2021,BWA,27
2022,BWA,6
2020,BX,20
2022,BX,2
2020,CAG,31
2021,CAG,11
2023,CAG,1
2020,CARR,24
2020,CAT,3
2021,CAT,13
2020,CB,27
2021,CB,7
2023,CB,5
2020,CBOE,18
2021,CBOE,7
2020,CBRE,10
2022,CBRE,10
2023,CBRE,5
2020,CCI,-3
2021,CCI,-4
2022,CCI,4
2023,CCL,5
2020,CDNS,22
2021,CDNS,12
2022,CDNS,7
2020,CDW,14
2021,CDW,12
2022,CDW,2
2020,CE,22
2021,CE,6
2022,CE,8
2021,CEG,11
2020,CF,5
2021,CF,5
2020,CHD,21
2021,CHD,12
2022,CHD,5
2023,CHD,5
2020,CHRW,40
2021,CHRW,33
2022,CHRW,1
2020,CHTR,68
2021,CHTR,8
2022,CHTR,1
2020,CI,16
2021,CI,12
2020,CINF,32
2021,CINF,32
2022,CINF,15
2020,CL,94
2021,CL,29
2022,CL,22
2023,CL,16
2020,CMCSA,55
2021,CMCSA,23
2022,CMCSA,21
2023,CMCSA,3
2020,CME,2
2021,CME,3
2022,CME,2
2020,CMG,1
2021,CMG,2
2022,CMG,2
2023,CMG,3
2020,CMI,17
2021,CMI,15
2022,CMI,13
2023,CMI,3
2020,CMS,13
2021,CMS,3
2022,CMS,7
2020,CNC,24
2021,CNC,14
2023,CNC,17
2020,CNP,59
2021,CNP,11
2022,CNP,15
2020,COF,29
2021,COF,5
