year,ticker,risk_score
2020,AAPL,3.411764705882353
2021,AAPL,4.473684210526316
2022,AAPL,5.0
2023,AAPL,3.5
2020,ABBV,3.125
2021,ABBV,3.125
2022,ABBV,3.3
2023,ABBV,2.8
2020,ABNB,6.0
2021,ABNB,5.4
2022,ABNB,4.666666666666667
2023,ABNB,4.666666666666667
2020,ABT,4.2
2021,ABT,3.25
2022,ABT,5.583333333333333
2023,ABT,4.333333333333333
2020,ACGL,6.090909090909091
2021,ACGL,5.083333333333333
2022,ACGL,4.7
2023,ACGL,1.7142857142857142
2020,ACN,5.2727272727272725
2021,ACN,3.0
2022,ACN,4.4
2023,ACN,3.0
2020,ADBE,5.461538461538462
2021,ADBE,4.538461538461538
2022,ADBE,5.0
2023,ADBE,1.5
2020,ADI,5.0
2021,ADI,3.5555555555555554
2022,ADI,3.3333333333333335
2023,ADI,3.6666666666666665
2020,ADM,3.5454545454545454
2021,ADM,3.8333333333333335
2022,ADM,4.714285714285714
2023,ADM,5.4
2020,ADP,6.0
2021,ADP,3.8333333333333335
2022,ADP,3.5
2023,ADP,3.0
2020,ADSK,6.375
2021,ADSK,4.833333333333333
2022,ADSK,3.909090909090909
2023,ADSK,4.25
2020,AEE,3.1578947368421053
2021,AEE,5.444444444444445
2022,AEE,3.6
2023,AEE,4.5
2023,AEP,4.5
2020,AES,6.8
2021,AES,4.423076923076923
2022,AES,4.1
2023,AES,2.6666666666666665
2021,AFL,5.833333333333333
2022,AFL,3.6666666666666665
2023,AFL,2.0
2020,AIG,5.666666666666667
2021,AIG,5.833333333333333
2022,AIG,5.833333333333333
2023,AIG,5.111111111111111
2020,AIZ,5.043478260869565
2021,AIZ,4.5625
2022,AIZ,4.833333333333333
2023,AIZ,5.0
2020,AJG,4.625
2021,AJG,4.166666666666667
2022,AJG,5.5
2023,AJG,5.0
2020,AKAM,4.636363636363637
2021,AKAM,4.454545454545454
2022,AKAM,5.111111111111111
2023,AKAM,3.5
2020,ALB,3.6666666666666665
2021,ALB,4.333333333333333
2022,ALB,4.25
2023,ALB,2.5
2020,ALGN,6.333333333333333
2021,ALGN,4.857142857142857
2022,ALGN,5.714285714285714
2023,ALGN,3.142857142857143
2020,ALLE,6.625
2021,ALLE,3.9
2022,ALLE,4.875
2023,ALLE,5.333333333333333
2020,ALL,6.0
2021,ALL,6.777777777777778
2022,ALL,6.571428571428571
2023,ALL,4.0
2020,AMAT,4.9
2021,AMAT,6.0
2022,AMAT,4.666666666666667
2023,AMAT,3.0
2021,AMCR,2.8823529411764706
2022,AMCR,4.5
2023,AMCR,4.333333333333333
2020,AMD,3.388888888888889
2021,AMD,3.4375
2022,AMD,2.8636363636363638
2023,AMD,3.2
2020,AME,3.1818181818181817
2021,AME,2.5384615384615383
2022,AME,4.0
2023,AME,3.0
2020,AMGN,6.454545454545454
2021,AMGN,5.384615384615385
2022,AMGN,6.0
2023,AMGN,4.8
2020,AMP,5.5
2021,AMP,6.4
2022,AMP,5.0
2023,AMP,3.0
2020,AMT,6.6
2021,AMT,4.0
2022,AMT,2.3333333333333335
2023,AMT,4.0
2020,AMZN,3.0
2021,AMZN,2.75
2022,AMZN,3.0
2023,AMZN,3.0
2020,ANET,4.666666666666667
2021,ANET,5.0
2022,ANET,3.3333333333333335
2023,ANET,2.3333333333333335
2020,ANSS,3.8
2021,ANSS,4.066666666666666
2022,ANSS,3.5
2023,ANSS,3.0
2020,AON,6.666666666666667
2021,AON,4.888888888888889
2022,AON,6.0
2023,AON,2.5
2020,AOS,4.625
2021,AOS,4.75
2022,AOS,2.4444444444444446
2023,AOS,4.75
2021,APA,6.083333333333333
2022,APA,5.714285714285714
2023,APA,3.75
2020,APD,5.3076923076923075
2021,APD,5.111111111111111
2022,APD,3.0
2023,APD,3.5
2020,APH,4.266666666666667
2023,APH,3.8333333333333335
2022,APO,5.5
2023,APO,5.0
2020,APTV,5.7272727272727275
2021,APTV,4.833333333333333
2022,APTV,4.0
2023,APTV,2.75
2020,ARE,5.666666666666667
2021,ARE,4.428571428571429
2022,ARE,6.333333333333333
2023,ARE,2.6
2020,ATO,3.5
2021,ATO,6.0
2022,ATO,2.0
2023,ATO,4.0
2020,AVB,5.545454545454546
2021,AVB,4.413793103448276
2022,AVB,6.0
2023,AVB,4.571428571428571
2020,AVGO,4.4
2021,AVGO,3.9375
2022,AVGO,3.6666666666666665
