year,ticker,risk_score
2020,AAPL,58
2021,AAPL,85
2022,AAPL,10
2023,AAPL,7
2020,ABBV,25
2021,ABBV,25
2022,ABBV,33
2023,ABBV,14
2020,ABNB,54
2021,ABNB,54
2022,ABNB,42
2023,ABNB,14
2020,ABT,21
2021,ABT,39
2022,ABT,67
2023,ABT,26
2020,ACGL,67
2021,ACGL,61
2022,ACGL,47
2023,ACGL,12
2020,ACN,58
2021,ACN,15
2022,ACN,22
2023,ACN,9
2020,ADBE,71
2021,ADBE,59
2022,ADBE,20
2023,ADBE,9
2020,ADI,75
2021,ADI,32
2022,ADI,30
2023,ADI,11
2020,ADM,39
2021,ADM,23
2022,ADM,33
2023,ADM,27
2020,ADP,30
2021,ADP,23
2022,ADP,14
2023,ADP,18
2020,ADSK,51
2021,ADSK,29
2022,ADSK,43
2023,ADSK,17
2020,AEE,60
2021,AEE,49
2022,AEE,18
2023,AEE,9
2023,AEP,9
2020,AES,68
2021,AES,115
2022,AES,41
2023,AES,32
2021,AFL,35
2022,AFL,33
2023,AFL,8
2020,AIG,68
2021,AIG,35
2022,AIG,35
2023,AIG,46
2020,AIZ,116
2021,AIZ,73
2022,AIZ,29
2023,AIZ,20
2020,AJG,37
2021,AJG,25
2022,AJG,33
2023,AJG,20
2020,AKAM,51
2021,AKAM,49
2022,AKAM,46
2023,AKAM,14
2020,ALB,22
2021,ALB,13
2022,ALB,17
2023,ALB,10
2020,ALGN,76
2021,ALGN,68
2022,ALGN,40
2023,ALGN,22
2020,ALLE,53
2021,ALLE,39
2022,ALLE,39
2023,ALLE,32
2020,ALL,18
2021,ALL,61
2022,ALL,46
2023,ALL,20
2020,AMAT,49
2021,AMAT,36
2022,AMAT,14
2023,AMAT,6
2021,AMCR,49
2022,AMCR,18
2023,AMCR,26
2020,AMD,61
2021,AMD,55
2022,AMD,63
2023,AMD,16
2020,AME,35
2021,AME,33
2022,AME,56
2023,AME,6
2020,AMGN,71
2021,AMGN,70
2022,AMGN,36
2023,AMGN,24
2020,AMP,44
2021,AMP,64
2022,AMP,25
2023,AMP,12
2020,AMT,66
2021,AMT,36
2022,AMT,7
2023,AMT,12
2020,AMZN,6
2021,AMZN,11
2022,AMZN,12
2023,AMZN,15
2020,ANET,42
2021,ANET,105
2022,ANET,20
2023,ANET,7
2020,ANSS,76
2021,ANSS,61
2022,ANSS,28
2023,ANSS,9
2020,AON,40
2021,AON,44
2022,AON,48
2023,AON,10
2020,AOS,74
2021,AOS,38
2022,AOS,22
2023,AOS,19
2021,APA,73
2022,APA,40
2023,APA,15
2020,APD,69
2021,APD,46
2022,APD,6
2023,APD,7
2020,APH,64
2023,APH,23
2022,APO,44
2023,APO,10
2020,APTV,63
2021,APTV,58
2022,APTV,44
2023,APTV,22
2020,ARE,34
2021,ARE,31
2022,ARE,38
2023,ARE,13
2020,ATO,14
2021,ATO,6
2022,ATO,6
2023,ATO,20
2020,AVB,61
2021,AVB,128
2022,AVB,54
2023,AVB,64
2020,AVGO,44
2021,AVGO,63
2022,AVGO,11
2023,AVGO,6
2020,AVY,88
2021,AVY,54
2022,AVY,44
2023,AVY,17
2020,AWK,20
2021,AWK,9
2022,AWK,11
2023,AWK,5
2020,AXON,18
2021,AXON,26
2022,AXON,13
2023,AXON,7
2021,AXP,75
2022,AXP,26
2023,AXP,13
2020,AZO,80
2021,AZO,13
2022,AZO,9
2023,AZO,13
2020,A,46
2021,A,55
2023,A,22
2020,BAC,50
2021,BAC,35
2022,BAC,33
2023,BAC,19
2020,BALL,17
2021,BALL,16
2022,BALL,12
2023,BALL,7
2020,BAX,193
2021,BAX,86
2022,BAX,69
2023,BAX,37
2020,BA,61
2021,BA,134
2022,BA,16
2023,BA,4
2020,BBY,57
2021,BBY,69
2022,BBY,39
2023,BBY,25
2020,BDX,57
2021,BDX,48
2022,BDX,23
2023,BDX,15
2020,BEN,138
2021,BEN,40
2022,BEN,33
2023,BEN,32
2020,BFB,84
2021,BFB,83
2022,BFB,40
2023,BFB,26
2023,BG,17
2020,BIIB,51
2021,BIIB,75
2022,BIIB,42
2023,BIIB,23
2020,BKNG,71
2021,BKNG,50
2022,BKNG,67
2023,BKNG,12
2020,BKR,42
2021,BKR,45
2022,BKR,35
2023,BKR,18
2020,BLDR,45
2021,BLDR,62
2022,BLDR,13
2023,BLDR,4
2020,BMY,71
2022,BMY,27
2023,BMY,28
2020,BRO,42
2021,BRO,33
2022,BRO,34
2023,BRO,12
2023,BR,6
2023,BSX,7
2020,BWA,60
2021,BWA,77
2022,BWA,36
2023,BWA,5
2020,BX,59
2021,BX,51
2022,BX,60
2023,BX,69
2020,CAG,25
2021,CAG,34
2022,CAG,13
2023,CAG,7
2020,CARR,34
2020,CAT,30
2021,CAT,43
2022,CAT,55
2023,CAT,30
2020,CBOE,27
2021,CBOE,37
2022,CBOE,22
2023,CBOE,28
2020,CBRE,98
2021,CBRE,37
2022,CBRE,12
2023,CBRE,13
2020,CB,19
2021,CB,37
2022,CB,31
2023,CB,6
2020,CCI,24
2021,CCI,42
2022,CCI,9
2023,CCI,7
2023,CCL,46
2020,CDNS,42
2021,CDNS,49
2022,CDNS,26
2023,CDNS,10
2020,CDW,38
2021,CDW,70
2022,CDW,50
2023,CDW,13
2021,CEG,32
2022,CEG,26
2020,CE,58
2021,CE,22
2022,CE,14
2023,CE,10
2022,CFG,35
2023,CFG,9
2020,CF,47
2021,CF,25
2022,CF,6
2023,CF,10
2020,CHD,41
2021,CHD,42
2022,CHD,63
2023,CHD,15
2020,CHRW,22
2021,CHRW,20
2022,CHRW,25
2023,CHRW,3
2020,CHTR,30
2021,CHTR,28
2022,CHTR,6
2020,CINF,42
2021,CINF,48
2022,CINF,39
2020,CI,41
2021,CI,43
2022,CI,41
2023,CI,7
2022,CLX,26
2023,CLX,38
2020,CL,62
2021,CL,60
2022,CL,44
2023,CL,29
2020,CMCSA,31
2021,CMCSA,27
2022,CMCSA,24
2023,CMCSA,12
2020,CME,71
2021,CME,102
2022,CME,65
2023,CME,3
2020,CMG,62
2021,CMG,47
2022,CMG,21
2023,CMG,7
2020,CMI,68
2021,CMI,18
2022,CMI,7
2023,CMI,9
2020,CMS,23
2021,CMS,27
2022,CMS,32
2023,CMS,5
2020,CNC,49
2021,CNC,32
2022,CNC,21
2023,CNC,15
2020,CNP,82
2021,CNP,44
2022,CNP,25
2023,CNP,17
2020,COF,62
2021,COF,69
2022,COF,39
2023,COF,17
2020,COO,50
2023,COO,9
2020,COR,100
2021,COR,53
2022,COR,27
2023,COR,7
2020,COST,97
2021,COST,42
2022,COST,16
2023,COST,17
2020,CPAY,29
2021,CPAY,25
2022,CPAY,31
2023,CPAY,14
2020,CPB,54
2021,CPB,42
2022,CPB,15
2020,CPRT,28
2021,CPRT,1
2022,CPRT,6
2023,CPRT,7
2020,CPT,85
2021,CPT,42
2022,CPT,22
2023,CPT,4
2020,CRL,64
2021,CRL,57
2022,CRL,49
2023,CRL,24
2020,CRM,35
2021,CRM,41
2022,CRM,41
2023,CRM,8
2020,CRWD,48
2021,CRWD,39
2022,CRWD,48
2023,CRWD,18
2020,CSCO,78
2021,CSCO,53
2022,CSCO,4
2023,CSCO,5
