year,ticker,risk_score
2020,AAPL,7
2021,AAPL,6
2020,ABBV,3
2021,ABBV,3
2022,ABBV,5
2020,ABNB,7
2021,ABNB,7
2022,ABNB,9
2020,ABT,6
2021,ABT,6
2022,ABT,7
2023,ABT,5
2020,ACGL,9
2020,ACN,4
2020,ADBE,9
2021,ADBE,7
2020,ADI,8
2021,ADI,2
2020,ADM,6
2021,ADM,3
2020,ADP,2
2021,ADP,3
2022,ADP,1
2020,ADSK,7
2021,ADSK,7
2022,ADSK,4
2020,AEE,7
2021,AEE,6
2022,AEE,6
2023,AEE,6
2020,AES,6
2021,AES,4
2023,AES,3
2021,AFL,7
2022,AFL,7
2020,AIG,8
2021,AIG,8
2022,AIG,7
2023,AIG,6
2020,AIZ,6
2020,AJG,6
2021,AJG,2
2020,AKAM,2
2021,AKAM,2
2022,AKAM,6
2023,AKAM,4
2020,ALB,7
2021,ALB,5
2023,ALB,0
2020,ALGN,8
2021,ALGN,6
2022,ALGN,5
2020,ALLE,7
2021,ALLE,6
2020,ALL,7
2021,ALL,8
2022,ALL,9
2023,ALL,4
2020,AMAT,8
2021,AMAT,7
2021,AMCR,5
2022,AMCR,7
2020,AMD,1
2021,AMD,6
2020,AME,7
2021,AME,7
2022,AME,8
2023,AMGN,6
2020,AMP,5
2021,AMP,9
2020,AMT,7
2021,AMT,3
2022,AMT,0
2020,AMZN,10
2021,AMZN,7
2022,AMZN,7
2020,ANET,8
2021,ANET,9
2022,ANET,2
2020,ANSS,7
2021,ANSS,9
2020,AON,7
2021,AON,8
2023,AON,1
2020,AOS,5
2021,AOS,9
2022,AOS,6
2023,AOS,4
2021,APA,8
2022,APA,7
2020,APH,6
2020,APTV,9
2021,APTV,8
2022,APTV,9
2023,APTV,6
2020,ATO,3
2021,ATO,1
2023,ATO,4
2020,AVB,8
2021,AVB,7
2022,AVB,7
2021,AVGO,4
2023,AVY,2
2020,AWK,7
2021,AWK,7
2023,AWK,2
2020,AXON,8
2021,AXON,7
2021,AXP,10
2022,AXP,7
2020,AZO,8
2021,AZO,9
2022,AZO,7
2023,AZO,4
2020,BAC,7
2021,BAC,6
2022,BAC,5
2023,BAC,4
2020,BALL,8
2021,BALL,6
2022,BALL,4
