year,ticker,risk_score
2020,AAPL,4.0
2021,AAPL,3.625
2020,ABBV,3.0
2021,ABBV,2.3333333333333335
2022,ABBV,2.75
2020,ABNB,7.0
2021,ABNB,7.0
2022,ABNB,9.0
2020,ABT,3.5555555555555554
2021,ABT,3.0
2022,ABT,4.416666666666667
2023,ABT,2.6666666666666665
2020,ACGL,7.333333333333333
2020,ACN,4.0
2020,ADBE,8.0
2021,ADBE,7.0
2020,ADI,3.8
2021,ADI,1.5
2020,ADM,4.6
2021,ADM,2.0
2020,ADP,2.0
2021,ADP,3.0
2022,ADP,1.0
2020,ADSK,7.0
2021,ADSK,5.0
2022,ADSK,3.0
2020,AEE,3.0
2021,AEE,5.0
2022,AEE,4.5
2023,AEE,6.0
2020,AES,6.0
2021,AES,3.3333333333333335
2023,AES,3.0
2021,AFL,7.0
2022,AFL,7.0
2020,AIG,7.0
2021,AIG,8.0
2022,AIG,7.0
2023,AIG,6.0
2020,AIZ,6.0
2020,AJG,4.0
2021,AJG,2.0
2020,AKAM,1.0
2021,AKAM,2.0
2022,AKAM,3.5
2023,AKAM,3.3333333333333335
2020,ALB,4.0
2021,ALB,2.0
2023,ALB,0.0
2020,ALGN,8.0
2021,ALGN,4.333333333333333
2022,ALGN,5.0
2020,ALLE,7.0
2021,ALLE,5.5
2020,ALL,3.25
2021,ALL,5.625
2022,ALL,6.285714285714286
2023,ALL,3.5
2020,AMAT,8.0
2021,AMAT,7.0
2021,AMCR,2.0
2022,AMCR,2.5
2020,AMD,0.0
2021,AMD,0.3333333333333333
2020,AME,5.0
2021,AME,3.25
2022,AME,2.75
2023,AMGN,5.0
2020,AMP,2.0
2021,AMP,9.0
2020,AMT,6.0
2021,AMT,3.0
2022,AMT,0.0
2020,AMZN,3.7
2021,AMZN,5.333333333333333
2022,AMZN,7.0
2020,ANET,8.0
2021,ANET,6.0
2022,ANET,2.0
2020,ANSS,3.5
2021,ANSS,2.6
2020,AON,6.666666666666667
2021,AON,2.3333333333333335
2023,AON,1.0
2020,AOS,2.6
2021,AOS,6.4
2022,AOS,2.1666666666666665
2023,AOS,4.0
2021,APA,6.5
2022,APA,7.0
2020,APH,3.3636363636363638
2020,APTV,6.25
2021,APTV,5.444444444444445
2022,APTV,5.25
2023,APTV,5.0
2020,ATO,2.5
2021,ATO,1.0
2023,ATO,4.0
2020,AVB,6.666666666666667
2021,AVB,4.5
2022,AVB,6.0
2021,AVGO,1.0
