year,ticker,risk_score
2020,AAPL,2
2021,AAPL,2
2020,ABBV,3
2021,ABBV,2
2022,ABBV,0
2020,ABNB,7
2021,ABNB,7
2022,ABNB,9
2020,ABT,1
2021,ABT,0
2022,ABT,1
2023,ABT,1
2020,ACGL,6
2020,ACN,4
2020,ADBE,7
2021,ADBE,7
2020,ADI,2
2021,ADI,1
2020,ADM,2
2021,ADM,1
2020,ADP,2
2021,ADP,3
2022,ADP,1
2020,ADSK,7
2021,ADSK,3
2022,ADSK,2
2020,AEE,1
2021,AEE,4
2022,AEE,3
2023,AEE,6
2020,AES,6
2021,AES,3
2023,AES,3
2021,AFL,7
2022,AFL,7
2020,AIG,6
2021,AIG,8
2022,AIG,7
2023,AIG,6
2020,AIZ,6
2020,AJG,2
2021,AJG,2
2020,AKAM,0
2021,AKAM,2
2022,AKAM,1
2023,AKAM,3
2020,ALB,1
2021,ALB,0
2023,ALB,0
2020,ALGN,8
2021,ALGN,2
2022,ALGN,5
2020,ALLE,7
2021,ALLE,5
2020,ALL,-1
2021,ALL,1
2022,ALL,4
2023,ALL,3
2020,AMAT,8
2021,AMAT,7
2021,AMCR,-5
2022,AMCR,-2
2020,AMD,-1
2021,AMD,-4
2020,AME,0
2021,AME,1
2022,AME,0
2023,AMGN,4
2020,AMP,-3
2021,AMP,9
2020,AMT,5
2021,AMT,3
2022,AMT,0
2020,AMZN,0
2021,AMZN,3
2022,AMZN,7
2020,ANET,8
2021,ANET,4
2022,ANET,2
2020,ANSS,1
2021,ANSS,0
2020,AON,6
2021,AON,-1
2023,AON,1
2020,AOS,0
2021,AOS,4
2022,AOS,-1
2023,AOS,4
2021,APA,5
2022,APA,7
2020,APH,-2
2020,APTV,4
2021,APTV,1
2022,APTV,2
2023,APTV,4
2020,ATO,2
2021,ATO,1
2023,ATO,4
2020,AVB,5
2021,AVB,3
2022,AVB,5
2021,AVGO,-2
2023,AVY,2
2020,AWK,-1
2021,AWK,2
2023,AWK,2
2020,AXON,-2
2021,AXON,1
2021,AXP,9
2022,AXP,7
2020,AZO,3
2021,AZO,2
2022,AZO,4
2023,AZO,1
2020,BAC,3
2021,BAC,5
2022,BAC,5
2023,BAC,4
2020,BALL,6
2021,BALL,-3
2022,BALL,4
2023,BALL,2
2020,BAX,4
2021,BAX,2
2022,BAX,1
2020,BA,5
2021,BA,4
2022,BA,3
2023,BA,0
2020,BDX,1
2021,BDX,2
2022,BDX,5
2023,BDX,4
2020,BEN,8
2020,BFB,2
2021,BFB,-1
2020,BIIB,2
2021,BIIB,3
2022,BIIB,3
2023,BIIB,7
2020,BKNG,4
2021,BKNG,9
2022,BKNG,4
2023,BKNG,-2
2020,BKR,0
2021,BKR,1
2020,BLDR,0
2021,BLDR,-2
2022,BLDR,2
2020,BMY,2
2020,BRO,6
2020,BWA,1
2021,BWA,2
2022,BWA,6
2020,BX,1
2022,BX,2
2020,CAG,1
2021,CAG,4
2023,CAG,1
2020,CARR,4
2020,CAT,-1
2021,CAT,1
2020,CBOE,1
2021,CBOE,7
2020,CBRE,3
2022,CBRE,1
2023,CBRE,5
2020,CB,5
2021,CB,7
2023,CB,5
2020,CCI,-3
2021,CCI,-4
2022,CCI,4
2023,CCL,5
2020,CDNS,0
2021,CDNS,-3
2022,CDNS,0
2020,CDW,1
2021,CDW,6
2022,CDW,2
2021,CEG,-2
2020,CE,-5
2021,CE,1
2022,CE,4
2020,CF,5
2021,CF,5
2020,CHD,2
2021,CHD,3
2022,CHD,5
2023,CHD,5
2020,CHRW,2
2021,CHRW,1
2022,CHRW,1
2020,CHTR,-3
2021,CHTR,0
2022,CHTR,1
2020,CINF,0
2021,CINF,-1
2022,CINF,-4
2020,CI,5
2021,CI,6
2020,CL,-2
2021,CL,2
2022,CL,2
2023,CL,1
2020,CMCSA,4
2021,CMCSA,3
2022,CMCSA,0
2023,CMCSA,3
2020,CME,2
2021,CME,3
2022,CME,2
2020,CMG,1
2021,CMG,2
2022,CMG,1
2023,CMG,3
2020,CMI,2
2021,CMI,3
2022,CMI,1
2023,CMI,3
2020,CMS,-2
2021,CMS,0
2022,CMS,1
2020,CNC,3
2021,CNC,2
2023,CNC,3
2020,CNP,4
2021,CNP,4
2022,CNP,2
2020,COF,1
2021,COF,5
2022,COF,4
2020,COO,2
2023,COO,5
2020,COR,6
2021,COR,3
2022,COR,5
2023,COR,0
2021,COST,4
2020,CPAY,1
2021,CPAY,2
2022,CPAY,6
2020,CPB,1
2021,CPB,0
2022,CPB,4
2020,CPRT,-2
2021,CPRT,1
2022,CPRT,1
2020,CPT,2
2021,CPT,1
2022,CPT,1
2020,CRL,4
2021,CRL,1
2020,CRM,2
2021,CRM,6
2020,CRWD,0
2021,CRWD,-2
2020,CSCO,3
2021,CSCO,2
2020,CSGP,0
2021,CSGP,-4
2022,CSGP,2
2023,CSGP,2
2020,CSX,1
2021,CSX,0
2020,CTAS,0
2021,CTAS,-2
2020,CTSH,3
2021,CTSH,7
2020,CTVA,-1
2022,CTVA,3
2020,CVS,6
2022,CVS,2
2023,CVS,3
2020,CZR,5
2021,CZR,7
2020,DAL,5
2022,DAL,8
2020,DAY,0
2021,DAY,5
2022,DAY,1
2020,DD,4
2021,DD,4
2022,DD,5
2023,DD,-2
2020,DELL,2
2021,DELL,5
2020,DFS,2
2021,DFS,8
2020,DG,-2
2021,DG,6
2022,DG,5
2023,DG,-1
2020,DHI,1
2021,DHI,1
2022,DHI,4
2023,DHI,0
2020,DHR,3
2021,DHR,5
2022,DHR,5
2020,DIS,3
2021,DIS,5
2020,DLR,6
2020,DLTR,4
2021,DLTR,6
2020,DOC,7
2021,DOC,4
2022,DOC,4
2020,DOV,6
2020,DOW,-2
2021,DOW,-3
2020,DPZ,1
2020,DRI,-3
2021,DRI,1
2022,DRI,4
2020,DUK,4
2021,DUK,0
2023,DUK,0
2020,DVA,6
2021,DVA,4
2022,DVA,2
2023,DVA,4
2020,DXCM,0
2023,D,2
2020,EA,1
2021,EA,-1
2020,EBAY,-3
2021,EBAY,2
2020,ECL,3
2021,ECL,3
2020,ED,0
2021,ED,-1
2022,ED,2
2023,ED,2
2020,EFX,0
2021,EFX,0
2022,EFX,1
2023,EFX,1
2020,EG,1
2021,EG,6
2020,ELV,5
2020,EL,0
2021,EL,2
2022,EL,-1
2020,EMN,2
2021,EMN,4
2022,EMN,6
2020,EMR,6
2020,ENPH,4
2022,ENPH,1
2020,EOG,3
2021,EOG,2
2022,EOG,5
2023,EOG,1
2020,EPAM,-3
2021,EPAM,0
2022,EPAM,-3
2020,EQIX,5
2021,EQIX,5
2022,EQIX,2
2023,EQT,3
2020,ERIE,6
2021,ERIE,0
2022,ERIE,0
2023,ERIE,6
2020,ESS,6
2021,ESS,-2
2022,ESS,-3
2023,ESS,4
2020,ES,4
2021,ES,5
2022,ES,-2
2020,EVRG,2
2020,EW,0
2021,EW,1
2022,EW,-3
