year,ticker,risk_score
2020,AAPL,7
2021,AAPL,9
2022,AAPL,6
2023,AAPL,6
2020,ABBV,7
2021,ABBV,6
2022,ABBV,7
2023,ABBV,5
2020,ABNB,9
2021,ABNB,7
2022,ABNB,9
2023,ABNB,5
2020,ABT,6
2021,ABT,6
2022,ABT,9
2023,ABT,6
2020,ACGL,9
2021,ACGL,7
2022,ACGL,8
2023,ACGL,4
2020,ACN,8
2021,ACN,6
2022,ACN,6
2023,ACN,5
2020,ADBE,9
2021,ADBE,7
2022,ADBE,7
2023,ADBE,5
2020,ADI,8
2021,ADI,7
2022,ADI,8
2023,ADI,5
2020,ADM,7
2021,ADM,5
2022,ADM,7
2023,ADM,8
2020,ADP,9
2021,ADP,6
2022,ADP,7
2023,ADP,5
2020,ADSK,9
2021,ADSK,7
2022,ADSK,7
2023,ADSK,5
2020,AEE,8
2021,AEE,9
2022,AEE,6
2023,AEE,6
2023,AEP,6
2020,AES,8
2021,AES,7
2022,AES,7
2023,AES,5
2021,AFL,8
2022,AFL,7
2023,AFL,3
2020,AIG,8
2021,AIG,8
2022,AIG,8
2023,AIG,8
2020,AIZ,8
2021,AIZ,7
2022,AIZ,8
2023,AIZ,6
2020,AJG,8
2021,AJG,7
2022,AJG,8
2023,AJG,6
2020,AKAM,6
2021,AKAM,7
2022,AKAM,8
2023,AKAM,4
2020,ALB,7
2021,ALB,5
2022,ALB,7
2023,ALB,4
2020,ALGN,9
2021,ALGN,9
2022,ALGN,8
2023,ALGN,6
2020,ALLE,10
2021,ALLE,6
2022,ALLE,9
2023,ALLE,6
2020,ALL,8
2021,ALL,8
2022,ALL,9
2023,ALL,5
2020,AMAT,8
2021,AMAT,7
2022,AMAT,5
2023,AMAT,3
2021,AMCR,5
2022,AMCR,8
2023,AMCR,6
2020,AMD,6
2021,AMD,6
2022,AMD,6
2023,AMD,5
2020,AME,7
2021,AME,7
2022,AME,8
2023,AME,5
2020,AMGN,9
2021,AMGN,10
2022,AMGN,8
2023,AMGN,6
2020,AMP,8
2021,AMP,9
2022,AMP,7
2023,AMP,6
2020,AMT,8
2021,AMT,7
2022,AMT,5
2023,AMT,4
2020,AMZN,10
2021,AMZN,7
2022,AMZN,7
2023,AMZN,4
2020,ANET,8
2021,ANET,9
2022,ANET,6
2023,ANET,4
2020,ANSS,7
2021,ANSS,9
2022,ANSS,7
2023,ANSS,4
2020,AON,8
2021,AON,8
2022,AON,9
2023,AON,5
2020,AOS,7
2021,AOS,9
2022,AOS,6
2023,AOS,6
2021,APA,8
2022,APA,8
2023,APA,6
2020,APD,7
2021,APD,8
2022,APD,4
2023,APD,4
2020,APH,7
2023,APH,6
2022,APO,10
2023,APO,6
2020,APTV,9
2021,APTV,8
2022,APTV,9
2023,APTV,6
2020,ARE,7
2021,ARE,7
2022,ARE,7
2023,ARE,4
2020,ATO,5
2021,ATO,6
2022,ATO,3
2023,ATO,5
2020,AVB,8
2021,AVB,7
2022,AVB,7
2023,AVB,6
2020,AVGO,8
2021,AVGO,6
2022,AVGO,4
2023,AVGO,4
2020,AVY,7
2021,AVY,6
2022,AVY,8
2023,AVY,5
2020,AWK,7
2021,AWK,7
2022,AWK,4
2023,AWK,4
2020,AXON,8
2021,AXON,7
2022,AXON,5
2023,AXON,4
2021,AXP,10
2022,AXP,7
