year,ticker,risk_score
2020,AAPL,1
2021,AAPL,0
2022,AAPL,4
2023,AAPL,1
2020,ABBV,1
2021,ABBV,1
2022,ABBV,0
2023,ABBV,1
2020,ABNB,4
2021,ABNB,3
2022,ABNB,3
2023,ABNB,4
2020,ABT,1
2021,ABT,0
2022,ABT,1
2023,ABT,1
2020,ACGL,5
2021,ACGL,1
2022,ACGL,0
2023,ACGL,-2
2020,ACN,4
2021,ACN,1
2022,ACN,3
2023,ACN,1
2020,ADBE,3
2021,ADBE,2
2022,ADBE,3
2023,ADBE,0
2020,ADI,2
2021,ADI,1
2022,ADI,1
2023,ADI,2
2020,ADM,1
2021,ADM,1
2022,ADM,2
2023,ADM,3
2020,ADP,2
2021,ADP,2
2022,ADP,1
2023,ADP,1
2020,ADSK,3
2021,ADSK,2
2022,ADSK,2
2023,ADSK,4
2020,AEE,1
2021,AEE,4
2022,AEE,1
2023,AEE,4
2023,AEP,3
2020,AES,6
2021,AES,2
2022,AES,1
2023,AES,1
2021,AFL,4
2022,AFL,2
2023,AFL,1
2020,AIG,3
2021,AIG,3
2022,AIG,3
2023,AIG,2
2020,AIZ,-2
2021,AIZ,3
2022,AIZ,2
2023,AIZ,4
2020,AJG,2
2021,AJG,1
2022,AJG,2
2023,AJG,4
2020,AKAM,0
2021,AKAM,2
2022,AKAM,1
2023,AKAM,3
2020,ALB,-2
2021,ALB,0
2022,ALB,1
2023,ALB,0
2020,ALGN,4
2021,ALGN,1
2022,ALGN,2
2023,ALGN,2
2020,ALLE,3
2021,ALLE,1
2022,ALLE,1
2023,ALLE,4
2020,ALL,-1
2021,ALL,1
2022,ALL,4
2023,ALL,3
2020,AMAT,2
2021,AMAT,4
2022,AMAT,4
2023,AMAT,3
2021,AMCR,-5
2022,AMCR,-2
2023,AMCR,3
2020,AMD,-1
2021,AMD,-4
2022,AMD,-3
2023,AMD,1
2020,AME,0
2021,AME,1
2022,AME,0
2023,AME,1
2020,AMGN,5
2021,AMGN,3
2022,AMGN,5
2023,AMGN,4
2020,AMP,-3
2021,AMP,4
2022,AMP,0
2023,AMP,1
2020,AMT,5
2021,AMT,2
2022,AMT,0
2023,AMT,4
2020,AMZN,0
2021,AMZN,1
2022,AMZN,1
2023,AMZN,2
2020,ANET,1
2021,ANET,1
2022,ANET,1
2023,ANET,0
2020,ANSS,1
2021,ANSS,0
2022,ANSS,0
2023,ANSS,2
2020,AON,5
2021,AON,-1
2022,AON,3
2023,AON,1
2020,AOS,0
2021,AOS,4
2022,AOS,-1
2023,AOS,4
2021,APA,4
2022,APA,3
2023,APA,2
2020,APD,0
2021,APD,2
2022,APD,2
2023,APD,3
2020,APH,-2
2023,APH,2
2022,APO,1
2023,APO,4
2020,APTV,4
2021,APTV,1
2022,APTV,0
2023,APTV,-2
2020,ARE,4
2021,ARE,3
2022,ARE,5
2023,ARE,2
2020,ATO,0
2021,ATO,1
2022,ATO,1
2023,ATO,3
2020,AVB,3
2021,AVB,2
2022,AVB,5
2023,AVB,2
2020,AVGO,0
2021,AVGO,-2
2022,AVGO,3
2023,AVGO,2
2020,AVY,1
2021,AVY,3
2022,AVY,1
2023,AVY,1
2020,AWK,-1
2021,AWK,2
2022,AWK,3
2023,AWK,1
2020,AXON,-2
2021,AXON,1
2022,AXON,2
2023,AXON,1
2021,AXP,2
2022,AXP,2
2023,AXP,3
2020,AZO,2
2021,AZO,1
2022,AZO,1
2023,AZO,1
2020,A,2
2021,A,3
2023,A,4
2020,BAC,3
2021,BAC,4
2022,BAC,5
2023,BAC,3
2020,BALL,0
2021,BALL,-3
2022,BALL,-5
2023,BALL,2
2020,BAX,4
2021,BAX,1
2022,BAX,1
2023,BAX,4
2020,BA,4
2021,BA,4
2022,BA,1
2023,BA,0
2020,BBY,1
2021,BBY,1
2022,BBY,3
2023,BBY,2
2020,BDX,1
2021,BDX,2
2022,BDX,2
2023,BDX,1
2020,BEN,6
2021,BEN,2
2022,BEN,3
2023,BEN,4
2020,BFB,2
2021,BFB,-1
2022,BFB,1
2023,BFB,2
2023,BG,1
2020,BIIB,2
2021,BIIB,3
2022,BIIB,2
2023,BIIB,2
2020,BKNG,4
2021,BKNG,1
2022,BKNG,1
2023,BKNG,-2
2020,BKR,0
2021,BKR,1
2022,BKR,1
2023,BKR,3
2020,BLDR,0
2021,BLDR,-2
2022,BLDR,2
2023,BLDR,4
2020,BMY,2
2022,BMY,0
2023,BMY,0
2020,BRO,0
2021,BRO,1
2022,BRO,1
2023,BRO,0
2023,BR,-1
2023,BSX,2
2020,BWA,1
2021,BWA,2
2022,BWA,3
2023,BWA,1
2020,BX,1
2021,BX,3
2022,BX,2
2023,BX,1
2020,CAG,1
2021,CAG,2
2022,CAG,6
2023,CAG,1
2020,CARR,4
2020,CAT,-1
2021,CAT,1
2022,CAT,2
2023,CAT,4
2020,CBOE,1
2021,CBOE,2
2022,CBOE,2
2023,CBOE,4
2020,CBRE,3
2021,CBRE,-1
2022,CBRE,1
2023,CBRE,3
2020,CB,1
2021,CB,2
2022,CB,1
2023,CB,2
2020,CCI,-3
2021,CCI,-4
2022,CCI,4
2023,CCI,7
2023,CCL,2
2020,CDNS,0
2021,CDNS,-3
2022,CDNS,0
2023,CDNS,1
2020,CDW,1
2021,CDW,6
2022,CDW,1
2023,CDW,4
2021,CEG,-2
