date,gpr_index
1985-01-01,230.04
1985-01-02,115.68
1985-01-03,97.43
1985-01-04,157.37
1985-01-05,81.36
1985-01-06,167.3
1985-01-07,105.31
1985-01-08,87.4
1985-01-09,121.4
1985-01-10,140.63
1985-01-11,94.85
1985-01-12,95.55
1985-01-13,91.78
1985-01-14,211.64
1985-01-15,97.17
1985-01-16,106.33
1985-01-17,54.69
1985-01-18,111.21
1985-01-19,51.6
1985-01-20,77.84
1985-01-21,138.41
1985-01-22,51.76
1985-01-23,124.85
1985-01-24,83.65
1985-01-25,70.18
1985-01-26,54.13
1985-01-27,63.7
1985-01-28,101.5
1985-01-29,76.81
1985-01-30,16.16
1985-01-31,111.48
1985-02-01,106.61
1985-02-02,119.37
1985-02-03,112.16
1985-02-04,80.36
1985-02-05,174.89
1985-02-06,124.22
1985-02-07,130.96
1985-02-08,147.88
1985-02-09,123.83
1985-02-10,133.99
1985-02-11,139.18
1985-02-12,153.86
1985-02-13,109.64
1985-02-14,80.21
1985-02-15,83.96
1985-02-16,63.1
1985-02-17,68.3
1985-02-18,128.76
1985-02-19,100.11
1985-02-20,64.59
1985-02-21,85.6
1985-02-22,157.74
1985-02-23,200.44
1985-02-24,91.59
1985-02-25,100.13
1985-02-26,125.18
1985-02-27,120.73
1985-02-28,144.72
1985-03-01,146.57
1985-03-02,149.53
1985-03-03,77.76
1985-03-04,82.61
1985-03-05,137.31
1985-03-06,179.06
1985-03-07,132.5
1985-03-08,91.8
1985-03-09,90.14
1985-03-10,119.37
1985-03-11,129.74
1985-03-12,232.91
1985-03-13,183.18
1985-03-14,177.46
1985-03-15,138.34
1985-03-16,194.86
1985-03-17,42.65
1985-03-18,124.33
1985-03-19,139.11
1985-03-20,136.23
1985-03-21,118.59
1985-03-22,102.78
1985-03-23,98.72
1985-03-24,79.82
1985-03-25,75.63
1985-03-26,95.39
1985-03-27,135.94
1985-03-28,145.02
1985-03-29,87.0
1985-03-30,142.7
1985-03-31,70.31
1985-04-01,90.26
1985-04-02,79.06
1985-04-03,88.79
1985-04-04,155.72
1985-04-05,95.55
1985-04-06,179.06
1985-04-07,57.54
1985-04-08,149.37
1985-04-09,96.72
1985-04-10,92.44
1985-04-11,115.98
1985-04-12,81.25
1985-04-13,29.23
1985-04-14,53.43
1985-04-15,45.75
1985-04-16,135.51
1985-04-17,91.43
1985-04-18,77.53
1985-04-19,37.08
1985-04-20,105.83
1985-04-21,38.25
1985-04-22,50.96
1985-04-23,135.04
1985-04-24,96.34
1985-04-25,136.23
1985-04-26,53.62
1985-04-27,71.57
1985-04-28,41.84
1985-04-29,74.16
1985-04-30,101.56
1985-05-01,88.73
1985-05-02,164.91
1985-05-03,106.86
1985-05-04,110.42
1985-05-05,110.64
1985-05-06,110.7
1985-05-07,130.76
1985-05-08,98.46
1985-05-09,106.86
1985-05-10,87.5
1985-05-11,48.71
1985-05-12,85.3
1985-05-13,97.69
1985-05-14,108.1
1985-05-15,88.43
1985-05-16,96.11
1985-05-17,142.41
1985-05-18,92.3
1985-05-19,95.19
1985-05-20,108.75
1985-05-21,110.16
1985-05-22,139.31
1985-05-23,115.87
1985-05-24,92.94
1985-05-25,71.79
1985-05-26,83.96
1985-05-27,97.43
1985-05-28,121.72
1985-05-29,54.87
1985-05-30,86.3
1985-05-31,107.06
1985-06-01,72.01
1985-06-02,85.85
1985-06-03,120.02
1985-06-04,77.94
1985-06-05,103.98
1985-06-06,99.95
1985-06-07,114.46
1985-06-08,84.4
1985-06-09,71.09
1985-06-10,148.19
1985-06-11,106.12
1985-06-12,120.84
1985-06-13,128.89
1985-06-14,112.63
1985-06-15,114.95
1985-06-16,125.14
1985-06-17,133.57
1985-06-18,258.32
1985-06-19,165.63
1985-06-20,246.39
1985-06-21,213.71
1985-06-22,158.21
1985-06-23,147.05
1985-06-24,230.51
1985-06-25,205.66
1985-06-26,170.89
1985-06-27,204.3
1985-06-28,198.24
1985-06-29,188.69
1985-06-30,182.41
1985-07-01,255.47
1985-07-02,222.37
1985-07-03,142.72
1985-07-04,180.03
1985-07-05,139.39
1985-07-06,123.52
1985-07-07,75.86
1985-07-08,112.29
1985-07-09,153.03
1985-07-10,197.09
1985-07-11,150.91
1985-07-12,174.69
1985-07-13,165.08
1985-07-14,108.73
1985-07-15,136.8
1985-07-16,108.47
1985-07-17,90.34
1985-07-18,122.97
1985-07-19,104.27
1985-07-20,63.22
1985-07-21,53.29
1985-07-22,133.74
1985-07-23,167.2
1985-07-24,145.21
1985-07-25,81.19
1985-07-26,82.4
1985-07-27,107.63
1985-07-28,125.0
1985-07-29,120.96
1985-07-30,124.1
1985-07-31,106.54
1985-08-01,140.76
1985-08-02,75.1
1985-08-03,57.11
1985-08-04,60.37
1985-08-05,62.5
1985-08-06,116.64
1985-08-07,95.39
1985-08-08,42.04
1985-08-09,95.79
1985-08-10,64.53
1985-08-11,44.87
1985-08-12,120.63
1985-08-13,76.64
1985-08-14,101.09
1985-08-15,53.31
1985-08-16,59.29
1985-08-17,79.58
1985-08-18,72.8
1985-08-19,104.41
1985-08-20,83.44
1985-08-21,167.72
1985-08-22,108.1
1985-08-23,72.01
1985-08-24,63.7
1985-08-25,22.08
1985-08-26,70.29
1985-08-27,112.29
1985-08-28,77.76
1985-08-29,131.63
1985-08-30,65.11
1985-08-31,56.15
1985-09-01,63.4
1985-09-02,84.32
1985-09-03,84.94
1985-09-04,66.42
1985-09-05,59.82
1985-09-06,89.34
1985-09-07,114.89
1985-09-08,67.19
1985-09-09,84.94
1985-09-10,120.02
1985-09-11,151.95
1985-09-12,73.61
1985-09-13,103.3
1985-09-14,120.26
1985-09-15,78.7
1985-09-16,95.33
1985-09-17,124.86
1985-09-18,126.49
1985-09-19,126.59
1985-09-20,104.39
1985-09-21,52.08
1985-09-22,69.89
1985-09-23,115.36
1985-09-24,110.66
1985-09-25,120.84
1985-09-26,174.71
1985-09-27,144.02
1985-09-28,129.71
1985-09-29,79.18
1985-09-30,104.06
1985-10-01,154.24
1985-10-02,184.03
1985-10-03,100.99
1985-10-04,159.82
1985-10-05,103.2
1985-10-06,92.57
1985-10-07,88.44
1985-10-08,134.72
1985-10-09,162.45
1985-10-10,102.24
1985-10-11,82.13
1985-10-12,146.14
1985-10-13,67.19
1985-10-14,138.44
1985-10-15,190.47
1985-10-16,106.61
1985-10-17,122.39
1985-10-18,118.31
1985-10-19,81.01
1985-10-20,82.99
1985-10-21,129.9
1985-10-22,75.67
1985-10-23,102.6
1985-10-24,71.09
1985-10-25,85.3
1985-10-26,106.57
