date,gpr_index
2004-01-01,213.87
2004-01-03,177.88
2004-02-02,184.91
2004-03-12,179.51
2004-03-15,192.09
2004-03-16,257.5
2004-03-17,182.45
2004-03-19,207.22
2004-03-23,208.84
2004-04-05,184.24
2004-04-09,252.65
2004-04-12,187.35
2004-04-14,239.21
2004-04-15,177.98
2004-04-16,180.4
2004-04-19,176.76
2004-04-28,189.78
2004-06-03,176.63
2004-06-18,190.44
2004-06-21,183.22
2004-06-29,200.76
2004-07-23,281.2
2004-08-02,197.46
2004-08-03,344.62
2004-08-04,225.56
2004-08-05,180.85
2004-08-06,210.99
2004-09-02,184.48
2004-09-03,192.66
2004-09-07,183.45
2004-09-09,191.81
2004-09-10,187.84
2004-09-27,184.23
2004-09-28,187.38
2004-11-09,201.72
2004-11-15,181.66
2004-11-23,182.61
