company_name,date,number_of_evidence,evidence_no,final_snippet_score
AAPL,2021-10-29,18,1,6
AAPL,2021-10-29,18,2,3
AAPL,2021-10-29,18,3,3
AAPL,2021-10-29,18,4,3
AAPL,2021-10-29,18,5,5
AAPL,2021-10-29,18,6,7
AAPL,2021-10-29,18,7,3
AAPL,2021-10-29,18,8,2
AAPL,2021-10-29,18,9,1
AAPL,2021-10-29,18,10,3
AAPL,2021-10-29,18,11,4
AAPL,2021-10-29,18,12,2
AAPL,2021-10-29,18,13,4
AAPL,2021-10-29,18,14,2
AAPL,2021-10-29,18,15,5
AAPL,2021-10-29,18,16,7
AAPL,2021-10-29,18,17,2
AAPL,2021-10-29,18,18,3
AAPL,2022-10-28,19,1,8
AAPL,2022-10-28,19,2,3
AAPL,2022-10-28,19,3,2
AAPL,2022-10-28,19,4,3
AAPL,2022-10-28,19,5,7
AAPL,2022-10-28,19,6,9
AAPL,2022-10-28,19,7,3
AAPL,2022-10-28,19,8,0
AAPL,2022-10-28,19,9,5
AAPL,2022-10-28,19,10,5
AAPL,2022-10-28,19,11,3
AAPL,2022-10-28,19,12,7
AAPL,2022-10-28,19,13,4
AAPL,2022-10-28,19,14,3
AAPL,2022-10-28,19,15,6
AAPL,2022-10-28,19,16,6
AAPL,2022-10-28,19,17,2
AAPL,2022-10-28,19,18,5
AAPL,2022-10-28,19,19,4
AAPL,2023-11-03,2,1,4
AAPL,2023-11-03,2,2,6
AAPL,2024-11-01,2,1,6
AAPL,2024-11-01,2,2,1
ABBV,2021-02-19,9,1,7
ABBV,2021-02-19,9,2,3
ABBV,2021-02-19,9,3,4
ABBV,2021-02-19,9,4,3
ABBV,2021-02-19,9,5,2
ABBV,2021-02-19,9,6,2
ABBV,2021-02-19,9,7,3
ABBV,2021-02-19,9,8,1
ABBV,2021-02-19,9,9,3
ABBV,2022-02-18,11,1,6
ABBV,2022-02-18,11,2,5
ABBV,2022-02-18,11,3,4
ABBV,2022-02-18,11,4,4
ABBV,2022-02-18,11,5,1
ABBV,2022-02-18,11,6,2
ABBV,2022-02-18,11,7,1
ABBV,2022-02-18,11,8,2
