company_name,date,item_label,item_snippets_score,snippets_count,max_snippet_score,min_snippet_score,mean_snippet_score,std_snippet_score
A,2021-12-17,item_1a,46,10,7,2,4.6,1.577621275493231
A,2022-12-21,item_1a,55,9,9,3,6.111111111111111,2.204792759220492
A,2024-12-20,item_1a,22,5,5,4,4.4,0.5477225575051663
AAPL,2021-10-29,item_1a,58,17,7,1,3.411764705882353,1.5834623270468011
AAPL,2021-10-29,item_7,36,9,7,2,4.0,1.8708286933869707
AAPL,2022-10-28,item_1a,85,19,9,0,4.473684210526316,2.294157338705618
AAPL,2022-10-28,item_7,29,8,6,2,3.625,1.5979898086569353
AAPL,2023-11-03,item_1a,10,2,6,4,5.0,1.4142135623730951
AAPL,2024-11-01,item_1a,7,2,6,1,3.5,3.5355339059327378
ABBV,2021-02-19,item_1a,25,8,7,1,3.125,1.807721533549109
ABBV,2021-02-19,item_7,3,1,3,3,3.0,
ABBV,2022-02-18,item_1a,25,8,6,1,3.125,1.8850918886280925
ABBV,2022-02-18,item_7,7,3,3,2,2.3333333333333335,0.5773502691896258
ABBV,2023-02-17,item_1a,33,10,7,2,3.3,1.4944341180973264
ABBV,2023-02-17,item_7,11,4,5,0,2.75,2.217355782608345
ABBV,2024-02-20,item_1a,14,5,5,1,2.8,2.04939015319192
ABNB,2021-02-26,item_1a,54,9,9,4,6.0,1.6583123951777
ABNB,2021-02-26,item_7,7,1,7,7,7.0,
ABNB,2022-02-25,item_1a,54,10,7,3,5.4,1.1737877907772674
ABNB,2022-02-25,item_7,7,1,7,7,7.0,
ABNB,2023-02-17,item_1a,42,9,9,3,4.666666666666667,2.1213203435596424
ABNB,2023-02-17,item_7,9,1,9,9,9.0,
ABNB,2024-02-16,item_1a,14,3,5,4,4.666666666666667,0.5773502691896258
ABT,2021-02-19,item_1a,21,5,6,3,4.2,1.0954451150103324
ABT,2021-02-19,item_7,32,9,6,1,3.5555555555555554,2.0069324297987157
ABT,2022-02-18,item_1a,39,12,6,0,3.25,2.0943647333651403
ABT,2022-02-18,item_7,9,3,6,0,3.0,3.0
ABT,2023-02-17,item_1a,67,12,9,1,5.583333333333333,2.7455197664338145
ABT,2023-02-17,item_7,53,12,7,1,4.416666666666667,2.2343733444579583
ABT,2024-02-16,item_1a,26,6,6,2,4.333333333333333,1.8618986725025255
ABT,2024-02-16,item_7,8,3,5,1,2.6666666666666665,2.0816659994661326
ACGL,2021-02-26,item_1a,67,11,8,5,6.090909090909091,1.0444659357341872
ACGL,2021-02-26,item_7,22,3,9,6,7.333333333333333,1.5275252316519468
ACGL,2022-02-25,item_1a,61,12,7,1,5.083333333333333,1.8809249819912512
ACGL,2023-02-24,item_1a,47,10,8,0,4.7,2.8303906287138374
ACGL,2024-02-23,item_1a,12,7,4,-2,1.7142857142857142,2.214669705568283
ACN,2021-10-15,item_1a,58,11,8,4,5.2727272727272725,1.2720777563426764
ACN,2021-10-15,item_7,4,1,4,4,4.0,
ACN,2022-10-12,item_1a,15,5,6,1,3.0,2.345207879911715
ACN,2023-10-12,item_1a,22,5,6,3,4.4,1.140175425099138
ACN,2024-10-10,item_1a,9,3,5,1,3.0,2.0
ADBE,2021-01-15,item_1a,71,13,9,3,5.461538461538462,1.8081014266989472
ADBE,2021-01-15,item_7,16,2,9,7,8.0,1.4142135623730951
ADBE,2022-01-21,item_1a,59,13,7,2,4.538461538461538,1.6132464481796025
ADBE,2022-01-21,item_7,7,1,7,7,7.0,
ADBE,2023-01-17,item_1a,20,4,7,3,5.0,1.632993161855452
ADBE,2024-01-17,item_1a,9,6,5,0,1.5,1.7606816861659011
ADI,2021-12-03,item_1a,75,15,8,2,5.0,2.0
ADI,2021-12-03,item_7,19,5,8,2,3.8,2.4899799195977463
ADI,2022-11-22,item_1a,32,9,7,1,3.5555555555555554,2.068278940998476
ADI,2022-11-22,item_7,3,2,2,1,1.5,0.7071067811865476
ADI,2023-11-21,item_1a,30,9,8,1,3.3333333333333335,2.23606797749979
ADI,2024-11-26,item_1a,11,3,5,2,3.6666666666666665,1.5275252316519468
ADM,2021-02-18,item_1a,39,11,7,1,3.5454545454545454,2.2074254852038093
ADM,2021-02-18,item_7,23,5,6,2,4.6,1.6733200530681511
ADM,2022-02-17,item_1a,23,6,5,2,3.8333333333333335,1.1690451944500122
ADM,2022-02-17,item_7,8,4,3,1,2.0,0.816496580927726
ADM,2023-02-14,item_1a,33,7,7,2,4.714285714285714,1.7994708216848745
ADM,2024-03-12,item_1a,27,5,8,3,5.4,2.3021728866442674
ADP,2021-08-04,item_1a,30,5,9,3,6.0,2.23606797749979
ADP,2021-08-04,item_7,2,1,2,2,2.0,
ADP,2022-08-03,item_1a,23,6,6,2,3.8333333333333335,1.4719601443879746
ADP,2022-08-03,item_7,3,1,3,3,3.0,
ADP,2023-08-03,item_1a,14,4,7,2,3.5,2.3804761428476167
ADP,2023-08-03,item_7,1,1,1,1,1.0,
ADP,2024-08-07,item_1a,18,6,5,1,3.0,1.6733200530681511
ADSK,2021-03-19,item_1a,51,8,9,3,6.375,1.9955307206712847
ADSK,2021-03-19,item_7,7,1,7,7,7.0,
ADSK,2022-03-14,item_1a,29,6,7,2,4.833333333333333,2.041241452319315
ADSK,2022-03-14,item_7,10,2,7,3,5.0,2.8284271247461903
ADSK,2023-03-14,item_1a,43,11,7,2,3.909090909090909,1.6403990645294486
ADSK,2023-03-14,item_7,6,2,4,2,3.0,1.4142135623730951
ADSK,2024-06-10,item_1a,17,4,5,4,4.25,0.5
AEE,2021-02-22,item_1a,60,19,8,1,3.1578947368421053,1.8933555718980595
AEE,2021-02-22,item_7,33,11,7,1,3.0,1.8973665961010275
AEE,2022-02-23,item_1a,49,9,9,4,5.444444444444445,1.5092308563562362
AEE,2022-02-23,item_7,15,3,6,4,5.0,1.0
AEE,2023-02-22,item_1a,18,5,6,1,3.6,2.5099800796022267
AEE,2023-02-22,item_7,9,2,6,3,4.5,2.1213203435596424
AEE,2024-02-29,item_1a,9,2,5,4,4.5,0.7071067811865476
AEE,2024-02-29,item_7,6,1,6,6,6.0,
AEP,2024-02-26,item_1a,9,2,6,3,4.5,2.1213203435596424
AES,2021-02-25,item_1a,68,10,8,6,6.8,0.7888106377466154
AES,2021-02-25,item_7,12,2,6,6,6.0,0.0
AES,2022-02-28,item_1a,115,26,7,2,4.423076923076923,1.4470128381759968
AES,2022-02-28,item_7,10,3,4,3,3.3333333333333335,0.5773502691896258
AES,2023-03-01,item_1a,41,10,7,1,4.1,1.66332999331662
AES,2024-02-26,item_1a,32,12,5,1,2.6666666666666665,0.9847319278346618
AES,2024-02-26,item_7,3,1,3,3,3.0,
AFL,2022-02-23,item_1a,35,6,8,4,5.833333333333333,1.4719601443879746
AFL,2022-02-23,item_7,7,1,7,7,7.0,
AFL,2023-02-24,item_1a,33,9,7,2,3.6666666666666665,1.7320508075688774
AFL,2023-02-24,item_7,7,1,7,7,7.0,
AFL,2024-02-22,item_1a,8,4,3,1,2.0,1.1547005383792515
AIG,2021-02-19,item_1a,68,12,8,3,5.666666666666667,1.2309149097933274
AIG,2021-02-19,item_7,14,2,8,6,7.0,1.4142135623730951
AIG,2022-02-17,item_1a,35,6,8,3,5.833333333333333,1.834847859269718
AIG,2022-02-17,item_7,8,1,8,8,8.0,
AIG,2023-02-17,item_1a,35,6,8,3,5.833333333333333,2.136976056643281
AIG,2023-02-17,item_7,7,1,7,7,7.0,
AIG,2024-02-14,item_1a,46,9,8,2,5.111111111111111,2.260776661041756
AIG,2024-02-14,item_7,6,1,6,6,6.0,
AIZ,2021-02-19,item_1a,116,23,8,-2,5.043478260869565,2.305689817299118
AIZ,2021-02-19,item_7,6,1,6,6,6.0,
AIZ,2022-02-22,item_1a,73,16,7,3,4.5625,1.2093386622447826
AIZ,2023-02-17,item_1a,29,6,8,2,4.833333333333333,1.9407902170679516
AIZ,2024-02-15,item_1a,20,4,6,4,5.0,0.816496580927726
AJG,2021-02-08,item_1a,37,8,8,2,4.625,2.2638462845343543
AJG,2021-02-08,item_7,8,2,6,2,4.0,2.8284271247461903
AJG,2022-02-18,item_1a,25,6,7,1,4.166666666666667,2.228601953392904
AJG,2022-02-18,item_7,2,1,2,2,2.0,
AJG,2023-02-10,item_1a,33,6,8,2,5.5,2.4289915602982237
AJG,2024-02-09,item_1a,20,4,6,4,5.0,1.1547005383792515
AKAM,2021-02-26,item_1a,51,11,6,1,4.636363636363637,1.689540012709215
AKAM,2021-02-26,item_7,2,2,2,0,1.0,1.4142135623730951
AKAM,2022-02-28,item_1a,49,11,7,2,4.454545454545454,1.6348477827391983
AKAM,2022-02-28,item_7,4,2,2,2,2.0,0.0
AKAM,2023-02-28,item_1a,46,9,8,1,5.111111111111111,2.0275875100994063
AKAM,2023-02-28,item_7,7,2,6,1,3.5,3.5355339059327378
AKAM,2024-02-28,item_1a,14,4,4,3,3.5,0.5773502691896257
AKAM,2024-02-28,item_7,10,3,4,3,3.3333333333333335,0.5773502691896258
ALB,2021-02-19,item_1a,22,6,7,-2,3.6666666666666665,3.3862466931200785
ALB,2021-02-19,item_7,24,6,7,1,4.0,2.5298221281347035
ALB,2022-02-22,item_1a,13,3,5,4,4.333333333333333,0.5773502691896257
ALB,2022-02-22,item_7,6,3,5,0,2.0,2.6457513110645907
ALB,2023-02-15,item_1a,17,4,7,1,4.25,2.5
