company_name,date,item_1a_scores,item_7_scores,total_scores
AAPL,2021-10-29,"[6, 3, 3, 3, 5, 7, 3, 2, 1, 3, 4, 2, 4, 2, 5, 2, 3]","[3, 3, 3, 7, 3, 5, 7, 2, 3]","[6, 3, 3, 3, 5, 7, 3, 2, 1, 3, 4, 2, 4, 2, 5, 2, 3, 3, 3, 3, 7, 3, 5, 7, 2, 3]"
AAPL,2022-10-28,"[8, 3, 2, 3, 7, 9, 3, 0, 5, 5, 3, 7, 4, 3, 6, 6, 2, 5, 4]","[3, 2, 3, 4, 3, 6, 6, 2]","[8, 3, 2, 3, 7, 9, 3, 0, 5, 5, 3, 7, 4, 3, 6, 6, 2, 5, 4, 3, 2, 3, 4, 3, 6, 6, 2]"
AAPL,2023-11-03,"[4, 6]",[],"[4, 6]"
AAPL,2024-11-01,"[6, 1]",[],"[6, 1]"
ABBV,2021-02-19,"[7, 3, 4, 3, 2, 2, 3, 1]",[3],"[7, 3, 4, 3, 2, 2, 3, 1, 3]"
ABBV,2022-02-18,"[6, 5, 4, 4, 1, 2, 1, 2]","[2, 3, 2]","[6, 5, 4, 4, 1, 2, 1, 2, 2, 3, 2]"
ABBV,2023-02-17,"[7, 4, 3, 3, 2, 3, 3, 4, 2, 2]","[0, 2, 5, 4]","[7, 4, 3, 3, 2, 3, 3, 4, 2, 2, 0, 2, 5, 4]"
ABBV,2024-02-20,"[5, 2, 1, 5, 1]",[],"[5, 2, 1, 5, 1]"
ABNB,2021-02-26,"[9, 7, 7, 5, 4, 7, 5, 6, 4]",[7],"[9, 7, 7, 5, 4, 7, 5, 6, 4, 7]"
ABNB,2022-02-25,"[7, 7, 3, 5, 6, 5, 5, 6, 5, 5]",[7],"[7, 7, 3, 5, 6, 5, 5, 6, 5, 5, 7]"
ABNB,2023-02-17,"[9, 7, 5, 3, 5, 4, 3, 3, 3]",[9],"[9, 7, 5, 3, 5, 4, 3, 3, 3, 9]"
ABNB,2024-02-16,"[5, 5, 4]",[],"[5, 5, 4]"
ABT,2021-02-19,"[3, 4, 6, 4, 4]","[4, 4, 6, 5, 5, 5, 1, 1, 1]","[3, 4, 6, 4, 4, 4, 4, 6, 5, 5, 5, 1, 1, 1]"
ABT,2022-02-18,"[4, 4, 4, 4, 5, 6, 6, 1, 3, 0, 2, 0]","[6, 3, 0]","[4, 4, 4, 4, 5, 6, 6, 1, 3, 0, 2, 0, 6, 3, 0]"
ABT,2023-02-17,"[9, 6, 1, 5, 9, 9, 7, 1, 5, 4, 6, 5]","[6, 1, 5, 1, 5, 4, 6, 5, 7, 7, 1, 5]","[9, 6, 1, 5, 9, 9, 7, 1, 5, 4, 6, 5, 6, 1, 5, 1, 5, 4, 6, 5, 7, 7, 1, 5]"
ABT,2024-02-16,"[6, 5, 6, 2, 5, 2]","[2, 1, 5]","[6, 5, 6, 2, 5, 2, 2, 1, 5]"
ACGL,2021-02-26,"[7, 6, 7, 7, 5, 6, 8, 5, 5, 6, 5]","[7, 6, 9]","[7, 6, 7, 7, 5, 6, 8, 5, 5, 6, 5, 7, 6, 9]"
ACGL,2022-02-25,"[7, 6, 7, 7, 5, 5, 3, 4, 7, 5, 4, 1]",[],"[7, 6, 7, 7, 5, 5, 3, 4, 7, 5, 4, 1]"
ACGL,2023-02-24,"[8, 7, 1, 7, 5, 2, 4, 6, 7, 0]",[],"[8, 7, 1, 7, 5, 2, 4, 6, 7, 0]"
ACGL,2024-02-23,"[2, 3, 4, 1, 0, -2, 4]",[],"[2, 3, 4, 1, 0, -2, 4]"
ACN,2021-10-15,"[7, 8, 6, 5, 4, 5, 5, 5, 5, 4, 4]",[4],"[7, 8, 6, 5, 4, 5, 5, 5, 5, 4, 4, 4]"
ACN,2022-10-12,"[5, 6, 2, 1, 1]",[],"[5, 6, 2, 1, 1]"
ACN,2023-10-12,"[6, 5, 4, 4, 3]",[],"[6, 5, 4, 4, 3]"
ACN,2024-10-10,"[5, 3, 1]",[],"[5, 3, 1]"
ADBE,2021-01-15,"[9, 7, 5, 4, 5, 5, 4, 6, 8, 7, 4, 4, 3]","[9, 7]","[9, 7, 5, 4, 5, 5, 4, 6, 8, 7, 4, 4, 3, 9, 7]"
