,Topic,Count,Name,Representation
0,-1,1236,-1_Economic and Security Impact of Terror Attacks,['Economic and Security Impact of Terror Attacks']
1,0,150,0_Business Acquisitions and Agreements,['Business Acquisitions and Agreements']
2,1,106,1_Anthrax and Bioterrorism Threats,['Anthrax and Bioterrorism Threats']
3,2,87,2_Corporate Layoffs and Workforce Reductions,['Corporate Layoffs and Workforce Reductions']
4,3,75,3_Responses to National Crisis Events,['Responses to National Crisis Events']
5,4,70,4_Political Instability and Governance in Afghanistan Post-Taliban,['Political Instability and Governance in Afghanistan Post-Taliban']
6,5,67,5_Airline Industry Bailout and Financial Strategies Post-Attacks,['Airline Industry Bailout and Financial Strategies Post-Attacks']
7,6,66,6_Economic Impact of Terrorist Attacks on Regional Economy,['Economic Impact of Terrorist Attacks on Regional Economy']
8,7,64,7_Aviation Security Measures and Challenges,['Aviation Security Measures and Challenges']
9,8,62,8_Widening Financial Losses for Corporations in Third Quarter,['Widening Financial Losses for Corporations in Third Quarter']
10,9,60,9_Corporate Quarterly Net Income Declines,['Corporate Quarterly Net Income Declines']
11,10,59,10_Corporate Transactions in Energy and Services,['Corporate Transactions in Energy and Services']
12,11,54,11_Pharmaceutical Approvals and Drug Developments,['Pharmaceutical Approvals and Drug Developments']
13,12,50,12_Investigation of Sept. 11 Hijacker Assistance and International Links,['Investigation of Sept. 11 Hijacker Assistance and International Links']
14,13,48,13_E-Commerce Consumer Guide and Trends,['E-Commerce Consumer Guide and Trends']
15,14,46,14_Rebuilding After 9/11 Attacks on World Trade Center,['Rebuilding After 9/11 Attacks on World Trade Center']
16,15,45,15_Japan Finance and Accounting Changes,['Japan Finance and Accounting Changes']
17,16,45,16_Geopolitical Relations and Trade Dynamics in Asia and Russia,['Geopolitical Relations and Trade Dynamics in Asia and Russia']
18,17,42,17_California Energy Crisis and Deregulation,['California Energy Crisis and Deregulation']
19,18,42,18_ROTC and Military Defense Debate,['ROTC and Military Defense Debate']
20,19,42,19_3rd Quarter Corporate Financial Performance,['3rd Quarter Corporate Financial Performance']
21,20,42,20_Legal Actions and Lawsuits,['Legal Actions and Lawsuits']
22,21,40,21_Indonesian Political Dynamics and Islamic Group Reactions to U.S. Efforts,['Indonesian Political Dynamics and Islamic Group Reactions to U.S. Efforts']
23,22,39,22_Small Cap Stock Market Movements,['Small Cap Stock Market Movements']
24,23,38,23_Advertising Trends and Market Challenges,['Advertising Trends and Market Challenges']
25,24,37,24_Earnings Forecast Revisions,['Earnings Forecast Revisions']
26,25,37,25_Economic Stimulus and Tax Cut Debate,['Economic Stimulus and Tax Cut Debate']
27,26,36,26_Global Monitoring and Media Trends,['Global Monitoring and Media Trends']
28,27,36,27_Ford Motor Company Strategic and Financial Adjustments,['Ford Motor Company Strategic and Financial Adjustments']
29,28,36,28_Quarterly Mutual Funds Performance and Trends,['Quarterly Mutual Funds Performance and Trends']
30,29,36,29_Currency Exchange and Market Movements,['Currency Exchange and Market Movements']
31,30,36,30_Middle East Alliances and U.S. Relations,['Middle East Alliances and U.S. Relations']
32,31,35,31_Entertainment Industry Reviews and Analysis,['Entertainment Industry Reviews and Analysis']
33,32,33,32_OPEC Decisions and Impact on Oil Prices,['OPEC Decisions and Impact on Oil Prices']
34,33,32,33_Financial Planning and Inventory Management,['Financial Planning and Inventory Management']
35,34,30,34_World-Wide Coverage,['World-Wide Coverage']
36,35,30,35_Leadership Changes in Corporations,['Leadership Changes in Corporations']
37,36,29,36_Interest Rates,['Interest Rates']
38,37,29,37_Corrections and Amplifications,['Corrections and Amplifications']
39,38,28,38_Innovative Public and Traditional Art Forms,['Innovative Public and Traditional Art Forms']
40,39,27,39_New Securities Issues and Legal Challenges,['New Securities Issues and Legal Challenges']
41,40,27,40_Coping with Terrorism and its Aftermath,['Coping with Terrorism and its Aftermath']
42,41,27,41_Stock Market Recovery Post-Attack,['Stock Market Recovery Post-Attack']
43,42,25,42_Cultural and Aesthetic Perceptions of Taste,['Cultural and Aesthetic Perceptions of Taste']
44,43,25,43_Corporate Bankruptcy Filings,['Corporate Bankruptcy Filings']
45,44,25,44_Stock Market Resilience and Exchange Collaborations Post-Disaster,['Stock Market Resilience and Exchange Collaborations Post-Disaster']
46,45,25,45_Microsoft Regulatory and Product Challenges in Europe,['Microsoft Regulatory and Product Challenges in Europe']
47,46,23,46_Treasury Bill Sale and Repo Market Dynamics,['Treasury Bill Sale and Repo Market Dynamics']
48,47,22,47_Workplace Trends and Career Development,['Workplace Trends and Career Development']
49,48,22,48_Nobel Prize Announcements and Literature Awards,['Nobel Prize Announcements and Literature Awards']
50,49,22,49_Travel Industry Challenges and Adaptations,['Travel Industry Challenges and Adaptations']
51,50,22,50_Bin Laden Ties and Bush Administration Policies,['Bin Laden Ties and Bush Administration Policies']
52,51,22,51_New York's Economic Recovery Post-Attacks,"[""New York's Economic Recovery Post-Attacks""]"
53,52,22,52_Workplace Trauma and Recovery,['Workplace Trauma and Recovery']
54,53,21,53_American Unity and Purpose in Society,['American Unity and Purpose in Society']
55,54,20,54_Stock Market Analysis and Strategist Opinions,['Stock Market Analysis and Strategist Opinions']
56,55,20,55_Federal and State Tax Policy Developments,['Federal and State Tax Policy Developments']
57,56,20,56_Internet Regulation and Security Issues,['Internet Regulation and Security Issues']
58,57,20,57_Real Estate Market Challenges and Uncertainty,['Real Estate Market Challenges and Uncertainty']
59,58,20,58_Erosion of Civil Liberties in Anti-Terrorism Efforts,['Erosion of Civil Liberties in Anti-Terrorism Efforts']
60,59,20,59_Starting an E-Business Franchise,['Starting an E-Business Franchise']
61,60,20,60_Wall Street Restructuring and Corporate Relocation,['Wall Street Restructuring and Corporate Relocation']
62,61,20,61_Recent Changes in Stock Listing Requirements,['Recent Changes in Stock Listing Requirements']
63,62,20,62_Impact of 9/11 Terrorist Attacks on Corporate Earnings,['Impact of 9/11 Terrorist Attacks on Corporate Earnings']
64,63,19,63_Performing Arts and Musical Adaptations,['Performing Arts and Musical Adaptations']
65,64,18,64_Web-Music Licensing and Legal Settlements,['Web-Music Licensing and Legal Settlements']
66,65,17,65_Air Transport Security and Policy Decisions,['Air Transport Security and Policy Decisions']
67,66,17,66_Stock Market Volatility and Investor Sentiment,['Stock Market Volatility and Investor Sentiment']
68,67,17,67_Israeli-Palestinian Peace Talks and Political Tensions,['Israeli-Palestinian Peace Talks and Political Tensions']
69,68,17,68_Counterterrorism Legislation and Surveillance Debate,['Counterterrorism Legislation and Surveillance Debate']
70,69,17,69_U.S. Rail System Investment and Ridership Trends,['U.S. Rail System Investment and Ridership Trends']
71,70,16,70_New York Mayoral Race and Potential Candidacy Extension,['New York Mayoral Race and Potential Candidacy Extension']
72,71,16,71_IPO Market Trends and Predictions,['IPO Market Trends and Predictions']
73,72,16,72_Political and Economic Unrest in Argentina,['Political and Economic Unrest in Argentina']
74,73,16,73_Advances in Technology and Innovations,['Advances in Technology and Innovations']
75,74,16,74_Insurance and Financial Strategies for Risk Management,['Insurance and Financial Strategies for Risk Management']
76,75,15,75_Post-9/11 Relief Efforts and Fundraising,['Post-9/11 Relief Efforts and Fundraising']
77,76,15,76_Telecommunications Impact of 9/11 Attacks,['Telecommunications Impact of 9/11 Attacks']
78,77,15,77_IBM and Sun's Developments in Low-Power Computing Technologies,"[""IBM and Sun's Developments in Low-Power Computing Technologies""]"
79,78,15,78_Economic Stimulus and Public Commentary,['Economic Stimulus and Public Commentary']
80,79,14,79_SEC Investigations and Data Transparency,['SEC Investigations and Data Transparency']
81,80,14,80_Advertising Notes,['Advertising Notes']
82,81,13,81_AOL Time Warner Cable Strategies and Executive Changes,['AOL Time Warner Cable Strategies and Executive Changes']
83,82,13,82_Junk Bond Market Challenges and Stability Concerns,['Junk Bond Market Challenges and Stability Concerns']
84,83,13,83_Terrorism Insurance Coverage and Policy Proposals,['Terrorism Insurance Coverage and Policy Proposals']
85,84,13,84_Redemption Notices Process,['Redemption Notices Process']
86,85,12,85_Financial Networks and Terrorism Tracking Challenges,['Financial Networks and Terrorism Tracking Challenges']
87,86,12,86_Real Estate Market Trends,['Real Estate Market Trends']
88,87,12,87_Weekend Journal Highlights,['Weekend Journal Highlights']
89,88,12,88_Mail Security and Disruption in Delivery Systems,['Mail Security and Disruption in Delivery Systems']
90,89,11,89_Mergers and Acquisitions Activity,['Mergers and Acquisitions Activity']
91,90,11,90_Financial Industry Rebuilding and Leadership Changes Post-9/11,['Financial Industry Rebuilding and Leadership Changes Post-9/11']
92,91,11,91_Competitive Strategies and Financial Moves in the Beverage Industry,['Competitive Strategies and Financial Moves in the Beverage Industry']
93,92,11,92_CD Yields Weekly Decline,['CD Yields Weekly Decline']
94,93,11,93_Economic Reports from The Wall Street Journal's Capital Bureau,"[""Economic Reports from The Wall Street Journal's Capital Bureau""]"
95,94,10,94_Terrorism Issues in the Americas and Beyond,['Terrorism Issues in the Americas and Beyond']
